 Epoch 0	 Fold: 0	 Accuracy: 57.90207995894607	 Loss: 2.4138123989105225
 Epoch 1	 Fold: 0	 Accuracy: 60.68765335086678	 Loss: 3.5227036476135254
 Epoch 2	 Fold: 0	 Accuracy: 62.801289350032874	 Loss: 1.635916829109192
 Epoch 3	 Fold: 0	 Accuracy: 62.730727905447665	 Loss: 2.2817447185516357
 Epoch 4	 Fold: 0	 Accuracy: 62.51743990249691	 Loss: 1.3528661727905273
 Epoch 5	 Fold: 0	 Accuracy: 62.480555511009186	 Loss: 2.456524133682251
 Epoch 6	 Fold: 0	 Accuracy: 62.4292380967654	 Loss: 1.2090730667114258
 Epoch 7	 Fold: 0	 Accuracy: 62.4468784579117	 Loss: 1.561954140663147
 Epoch 8	 Fold: 0	 Accuracy: 62.108504257741714	 Loss: 1.3038043975830078
 Epoch 9	 Fold: 0	 Accuracy: 62.732331574642785	 Loss: 0.8728578686714172
 Epoch 10	 Fold: 0	 Accuracy: 62.47093349583848	 Loss: 0.9403453469276428
 Epoch 11	 Fold: 0	 Accuracy: 61.34515772086534	 Loss: 1.1402604579925537
 Epoch 12	 Fold: 0	 Accuracy: 61.24412656157288	 Loss: 1.9959564208984375
 Epoch 13	 Fold: 0	 Accuracy: 61.542409031864906	 Loss: 0.48728132247924805
 Epoch 14	 Fold: 0	 Accuracy: 60.73576342672034	 Loss: 0.6338931322097778
 Epoch 15	 Fold: 0	 Accuracy: 60.05901502638036	 Loss: 0.8506948351860046
 Epoch 16	 Fold: 0	 Accuracy: 59.89223343008804	 Loss: 1.3161667585372925
 Epoch 17	 Fold: 0	 Accuracy: 60.90895969979313	 Loss: 0.7706891298294067
 Epoch 18	 Fold: 0	 Accuracy: 60.75180011867152	 Loss: 0.7424322366714478
 Epoch 19	 Fold: 0	 Accuracy: 59.54102987635711	 Loss: 1.3885831832885742
 Epoch 20	 Fold: 0	 Accuracy: 59.39509597960133	 Loss: 1.3106745481491089
 Epoch 21	 Fold: 0	 Accuracy: 59.60838398255208	 Loss: 0.9688801169395447
 Epoch 22	 Fold: 0	 Accuracy: 59.040685087480156	 Loss: 1.5816274881362915
 Epoch 23	 Fold: 0	 Accuracy: 58.84824478406594	 Loss: 1.1028910875320435
 Epoch 24	 Fold: 0	 Accuracy: 58.559584328944624	 Loss: 0.8046959042549133
 Epoch 25	 Fold: 0	 Accuracy: 58.639767788700546	 Loss: 1.1495155096054077
 Epoch 26	 Fold: 0	 Accuracy: 57.93575701204355	 Loss: 0.3568972647190094
 Epoch 27	 Fold: 0	 Accuracy: 58.068861555238385	 Loss: 1.324903130531311
 Epoch 28	 Fold: 0	 Accuracy: 57.60700482704428	 Loss: 1.1994377374649048
 Epoch 29	 Fold: 0	 Accuracy: 58.37516237150601	 Loss: 0.9253408312797546
 Epoch 30	 Fold: 0	 Accuracy: 58.88192183716343	 Loss: 0.9745930433273315
 Epoch 31	 Fold: 0	 Accuracy: 58.55477332135927	 Loss: 0.9788584113121033
 Epoch 32	 Fold: 0	 Accuracy: 57.65671857209295	 Loss: 0.9740810990333557
 Epoch 33	 Fold: 0	 Accuracy: 56.731401446509615	 Loss: 1.2290503978729248
 Epoch 34	 Fold: 0	 Accuracy: 58.464967846432636	 Loss: 1.5666828155517578
 Epoch 35	 Fold: 0	 Accuracy: 57.700017640361146	 Loss: 0.6734758019447327
 Epoch 36	 Fold: 0	 Accuracy: 57.33277739467903	 Loss: 1.1351770162582397
 Epoch 37	 Fold: 0	 Accuracy: 57.18684349792325	 Loss: 1.0040251016616821
 Epoch 38	 Fold: 0	 Accuracy: 56.81639591385089	 Loss: 1.003660798072815
 Epoch 39	 Fold: 0	 Accuracy: 56.64159597158298	 Loss: 1.104798436164856
 Epoch 40	 Fold: 0	 Accuracy: 55.97767692480395	 Loss: 1.3430756330490112
 Epoch 41	 Fold: 0	 Accuracy: 57.844347867921805	 Loss: 1.7178535461425781
 Epoch 42	 Fold: 0	 Accuracy: 55.95201821768206	 Loss: 0.8249625563621521
 Epoch 43	 Fold: 0	 Accuracy: 56.67206568629023	 Loss: 0.7960008978843689
 Epoch 44	 Fold: 0	 Accuracy: 55.53506422695126	 Loss: 1.3067924976348877
 Epoch 45	 Fold: 0	 Accuracy: 57.720865339897685	 Loss: 1.771944284439087
 Epoch 46	 Fold: 0	 Accuracy: 56.8083775678753	 Loss: 0.8551563620567322
 Epoch 47	 Fold: 0	 Accuracy: 56.89818304280193	 Loss: 1.5463590621948242
 Epoch 48	 Fold: 0	 Accuracy: 56.76347483041198	 Loss: 1.0069937705993652
 Epoch 49	 Fold: 0	 Accuracy: 56.083519091681765	 Loss: 1.4566248655319214
 Epoch 0	 Fold: 1	 Accuracy: 68.53229841554942	 Loss: 0.46851181983947754
 Epoch 1	 Fold: 1	 Accuracy: 67.65026621335556	 Loss: 0.49305927753448486
 Epoch 2	 Fold: 1	 Accuracy: 66.98794021425364	 Loss: 0.8117108345031738
 Epoch 3	 Fold: 1	 Accuracy: 65.95195330040413	 Loss: 0.5123845934867859
 Epoch 4	 Fold: 1	 Accuracy: 66.11873757136442	 Loss: 0.4824758470058441
 Epoch 5	 Fold: 1	 Accuracy: 65.39707486047854	 Loss: 0.5166606307029724
 Epoch 6	 Fold: 1	 Accuracy: 64.91436269164154	 Loss: 0.47164615988731384
